iter	Passed	Remaining
0	32	16006
1	65	16341
2	101	16810
3	133	16524
4	165	16390
5	197	16235
6	220	15556
7	241	14856
8	263	14387
9	287	14098
10	314	13991
11	339	13799
12	363	13635
13	387	13457
14	413	13385
15	445	13465
16	470	13372
17	498	13350
18	523	13250
19	549	13185
20	573	13092
21	596	12971
22	621	12896
23	653	12967
24	684	13009
25	717	13072
26	747	13100
27	772	13020
28	798	12972
29	825	12935
30	852	12891
31	875	12810
32	901	12762
33	931	12766
34	962	12783
35	997	12854
36	1032	12918
37	1065	12955
38	1096	12961
39	1122	12911
40	1146	12837
41	1170	12759
42	1194	12697
43	1226	12707
44	1262	12761
45	1287	12704
46	1324	12765
47	1355	12762
48	1382	12723
49	1407	12663
50	1429	12586
51	1453	12521
52	1476	12455
53	1502	12410
54	1526	12347
55	1549	12288
56	1572	12222
57	1595	12159
58	1619	12102
59	1643	12054
60	1672	12035
61	1697	11990
62	1723	11951
63	1747	11902
64	1771	11857
65	1791	11779
66	1817	11744
67	1842	11702
68	1867	11667
69	1897	11654
70	1928	11654
71	1961	11662
72	1993	11658
73	2027	11674
74	2050	11619
75	2078	11593
76	2101	11544
77	2123	11488
78	2147	11444
79	2171	11400
80	2195	11358
81	2220	11321
82	2243	11270
83	2267	11230
84	2292	11194
85	2317	11155
86	2340	11109
87	2365	11073
88	2389	11033
89	2412	10991
90	2435	10947
91	2459	10907
92	2487	10886
93	2511	10845
94	2540	10828
95	2569	10812
96	2600	10803
97	2632	10796
98	2661	10781
99	2687	10748
100	2707	10696
101	2730	10654
102	2754	10618
103	2785	10605
104	2814	10588
105	2846	10582
106	2881	10584
107	2914	10579
108	2945	10566
109	2971	10533
110	2994	10494
111	3017	10455
112	3044	10425
113	3079	10427
114	3112	10419
115	3145	10411
116	3181	10413
117	3224	10439
118	3247	10396
119	3269	10353
120	3335	10447
121	3390	10504
122	3471	10638
123	3511	10647
124	3537	10612
125	3562	10573
126	3586	10534
127	3610	10493
128	3647	10491
129	3713	10567
130	3766	10610
131	3794	10579
132	3816	10532
133	3840	10489
134	3862	10442
135	3884	10398
136	3907	10352
137	3928	10305
138	3954	10270
139	3984	10246
140	4015	10223
141	4046	10201
142	4078	10180
143	4107	10154
144	4130	10112
145	4154	10072
146	4176	10028
147	4202	9994
148	4227	9957
149	4248	9913
150	4272	9873
151	4309	9867
152	4338	9840
153	4370	9819
154	4412	9822
155	4452	9817
156	4476	9780
157	4508	9758
158	4526	9708
159	4547	9664
160	4567	9617
161	4586	9569
162	4605	9522
163	4627	9480
164	4653	9447
165	4675	9407
166	4702	9375
167	4725	9337
168	4749	9303
169	4788	9295
170	4808	9251
171	4827	9206
172	4846	9161
173	4865	9115
174	4884	9070
175	4904	9028
176	4924	8987
177	4946	8948
178	4966	8906
179	4985	8863
180	5006	8823
181	5025	8780
182	5049	8747
183	5073	8713
184	5100	8684
185	5124	8650
186	5149	8620
187	5176	8591
188	5202	8560
189	5220	8518
190	5241	8479
191	5261	8440
192	5284	8405
193	5304	8367
194	5327	8332
195	5356	8308
196	5379	8274
197	5400	8236
198	5418	8195
199	5438	8157
200	5458	8119
201	5485	8092
202	5510	8062
203	5535	8031
204	5558	7999
205	5583	7968
206	5607	7937
207	5631	7906
208	5650	7867
209	5667	7826
210	5684	7786
211	5703	7747
212	5719	7706
213	5738	7669
214	5762	7638
215	5779	7599
216	5796	7559
217	5812	7519
218	5829	7479
219	5845	7440
220	5862	7401
221	5878	7361
222	5897	7325
223	5913	7286
224	5931	7250
225	5949	7213
226	5971	7181
227	5993	7150
228	6015	7118
229	6040	7091
230	6063	7061
231	6089	7034
232	6111	7003
233	6130	6969
234	6159	6945
235	6176	6909
236	6195	6875
237	6213	6840
238	6229	6803
239	6246	6767
240	6270	6739
241	6293	6709
242	6315	6679
243	6337	6648
244	6358	6618
245	6380	6587
246	6402	6557
247	6426	6529
248	6446	6498
249	6465	6465
250	6489	6438
251	6515	6411
252	6537	6382
253	6569	6362
254	6592	6333
255	6616	6306
256	6634	6272
257	6650	6237
258	6666	6203
259	6683	6169
260	6699	6135
261	6717	6102
262	6733	6068
263	6749	6033
264	6769	6002
265	6785	5969
266	6803	5937
267	6820	5903
268	6836	5870
269	6853	5838
270	6870	5805
271	6886	5772
272	6903	5740
273	6920	5708
274	6941	5679
275	6968	5655
276	7004	5638
277	7035	5617
278	7059	5591
279	7081	5564
280	7106	5538
281	7125	5508
282	7142	5476
283	7158	5444
284	7176	5413
285	7191	5381
286	7208	5349
287	7225	5318
288	7242	5287
289	7260	5257
290	7278	5227
291	7295	5196
292	7311	5165
293	7327	5134
294	7344	5103
295	7361	5073
296	7380	5044
297	7398	5015
298	7416	4985
299	7433	4955
300	7449	4925
301	7467	4895
302	7483	4865
303	7501	4836
304	7517	4805
305	7543	4782
306	7566	4757
307	7590	4731
308	7616	4707
309	7641	4683
310	7673	4663
311	7695	4637
312	7712	4607
313	7731	4579
314	7751	4552
315	7773	4526
316	7800	4502
317	7823	4477
318	7844	4450
319	7866	4424
320	7887	4398
321	7911	4373
322	7932	4346
323	7950	4318
324	7967	4289
325	7983	4260
326	7998	4231
327	8018	4204
328	8042	4179
329	8064	4154
330	8089	4130
331	8121	4109
332	8150	4087
333	8178	4064
334	8203	4040
335	8223	4013
336	8242	3986
337	8266	3962
338	8293	3938
339	8323	3917
340	8397	3915
341	8426	3892
342	8447	3866
343	8469	3840
344	8489	3813
345	8508	3787
346	8529	3761
347	8551	3735
348	8571	3708
349	8596	3684
350	8628	3662
351	8657	3640
352	8689	3618
353	8718	3595
354	8751	3574
355	8772	3548
356	8793	3522
357	8814	3496
358	8835	3470
359	8855	3443
360	8875	3417
361	8896	3391
362	8917	3365
363	8946	3342
364	8974	3319
365	9012	3299
366	9039	3276
367	9070	3253
368	9093	3228
369	9113	3202
370	9136	3177
371	9157	3150
372	9173	3123
373	9193	3097
374	9214	3071
375	9234	3045
376	9262	3022
377	9290	2998
378	9318	2975
379	9348	2952
380	9384	2931
381	9413	2907
382	9438	2883
383	9459	2857
384	9479	2831
385	9501	2806
386	9523	2780
387	9544	2754
388	9563	2728
389	9583	2702
390	9602	2677
391	9622	2651
392	9642	2625
393	9671	2602
394	9696	2577
395	9726	2554
396	9762	2532
397	9796	2510
398	9821	2486
399	9842	2460
400	9865	2435
401	9885	2409
402	9909	2385
403	9934	2360
404	9957	2335
405	9980	2310
406	10005	2286
407	10027	2261
408	10051	2236
409	10080	2212
410	10109	2189
411	10157	2169
412	10197	2148
413	10233	2125
414	10259	2101
415	10282	2076
416	10306	2051
417	10330	2026
418	10355	2001
419	10386	1978
420	10413	1954
421	10455	1932
422	10498	1911
423	10544	1890
424	10584	1867
425	10631	1846
426	10663	1823
427	10687	1797
428	10716	1773
429	10756	1751
430	10787	1726
431	10818	1702
