iter	Passed	Remaining
0	460	460407
1	524	261569
2	577	192063
3	636	158563
4	712	141832
5	838	138980
6	874	124003
7	911	113005
8	1234	135955
9	1570	155463
10	1607	144567
11	1649	135848
12	1733	131605
13	1770	124723
14	1824	119797
15	1853	114020
16	1887	109127
17	1926	105087
18	1963	101375
19	2061	101005
20	2183	101783
21	2285	101604
22	2380	101120
23	2456	99911
24	2507	97802
25	2571	96316
26	2599	93689
27	2631	91348
28	2680	89736
29	2774	89714
30	2896	90539
31	3010	91057
32	3079	90228
33	3142	89291
34	3214	88619
35	3360	89977
36	3423	89111
37	3497	88545
38	3540	87230
39	3618	86840
40	3724	87127
41	3770	85993
42	3828	85205
43	3920	85181
44	3997	84831
45	4073	84482
46	4109	83327
47	4151	82342
48	4183	81186
49	4217	80140
50	4254	79175
51	4287	78160
52	4309	77007
53	4331	75886
54	4356	74855
55	4378	73810
56	4408	72927
57	4436	72050
58	4468	71275
59	4496	70450
60	4520	69588
61	4544	68750
62	4570	67980
63	4595	67211
64	4626	66544
65	4662	65982
66	4709	65588
67	4748	65083
68	4777	64465
69	4803	63822
70	4829	63186
71	4852	62538
72	4878	61951
73	4912	61472
74	4937	60896
75	4961	60325
76	4989	59813
77	5012	59245
78	5040	58759
79	5064	58242
80	5096	57827
81	5134	57479
82	5159	57004
83	5196	56661
84	5224	56245
85	5257	55878
86	5291	55533
87	5329	55237
88	5362	54893
89	5391	54516
90	5416	54100
91	5438	53675
92	5457	53227
93	5478	52803
94	5501	52411
95	5528	52059
96	5548	51648
97	5578	51341
98	5599	50958
99	5620	50588
100	5641	50210
101	5662	49849
102	5681	49479
103	5724	49318
104	5761	49109
105	5799	48909
106	5826	48626
107	5845	48283
108	5867	47960
109	5887	47638
110	5914	47370
111	5943	47123
112	5967	46843
113	5998	46616
114	6021	46342
115	6043	46052
116	6068	45795
117	6097	45578
118	6119	45301
119	6146	45077
120	6170	44823
121	6207	44675
122	6241	44505
123	6268	44286
124	6296	44076
125	6331	43915
126	6352	43666
127	6370	43401
128	6392	43161
129	6411	42910
130	6432	42668
131	6457	42463
132	6476	42221
133	6495	41976
134	6511	41719
135	6530	41484
136	6548	41252
137	6566	41019
138	6583	40779
139	6600	40546
140	6618	40322
141	6636	40101
142	6664	39939
143	6684	39733
144	6704	39530
145	6730	39366
146	6750	39168
147	6768	38962
148	6787	38763
149	6805	38562
150	6829	38400
151	6849	38214
152	6873	38052
153	6896	37888
154	6913	37691
155	6931	37503
156	6949	37314
157	6966	37124
158	6984	36941
159	7001	36757
160	7018	36572
161	7038	36408
162	7056	36234
163	7080	36094
164	7114	36005
165	7142	35882
166	7165	35743
167	7182	35570
168	7200	35405
169	7217	35238
170	7234	35074
171	7258	34940
172	7280	34803
173	7305	34681
174	7345	34626
175	7367	34493
176	7396	34391
177	7427	34301
178	7458	34208
179	7482	34087
180	7513	33999
181	7554	33954
182	7582	33850
183	7615	33774
184	7647	33692
185	7676	33593
186	7699	33473
187	7722	33355
188	7744	33233
189	7766	33109
190	7789	32992
191	7812	32876
192	7832	32749
193	7857	32643
194	7879	32529
195	7901	32411
196	7925	32305
197	7948	32196
198	7980	32121
199	8007	32029
200	8028	31914
201	8048	31794
202	8068	31678
203	8091	31571
204	8111	31458
205	8139	31372
206	8163	31273
207	8199	31222
208	8227	31139
209	8246	31023
210	8267	30914
211	8290	30816
212	8310	30707
213	8332	30604
214	8353	30498
215	8383	30427
216	8411	30351
217	8432	30250
218	8457	30162
219	8478	30058
220	8498	29957
221	8519	29856
222	8540	29758
223	8562	29664
224	8580	29554
225	8599	29449
226	8620	29356
227	8642	29262
228	8665	29175
229	8681	29063
230	8697	28954
231	8714	28846
232	8730	28738
233	8746	28631
234	8764	28532
235	8782	28431
236	8802	28338
237	8823	28249
238	8845	28165
239	8862	28066
240	8881	27971
241	8900	27877
242	8917	27779
243	8935	27686
244	8952	27588
245	8968	27489
246	8986	27394
247	9004	27304
248	9025	27222
249	9046	27140
250	9064	27049
251	9082	26960
252	9099	26868
253	9116	26774
254	9132	26680
255	9148	26587
256	9164	26494
257	9181	26406
258	9201	26326
259	9220	26241
260	9241	26166
261	9263	26093
262	9279	26004
263	9297	25920
264	9318	25845
265	9335	25760
266	9352	25675
267	9369	25590
268	9384	25502
269	9401	25419
270	9421	25345
271	9448	25288
272	9465	25206
273	9481	25121
274	9497	25039
275	9514	24958
276	9531	24877
277	9547	24795
278	9563	24715
279	9581	24637
280	9598	24559
281	9617	24487
282	9637	24417
283	9659	24352
284	9678	24281
285	9695	24204
286	9713	24130
287	9730	24056
288	9748	23983
289	9766	23910
290	9782	23835
291	9799	23759
292	9817	23689
293	9839	23629
294	9868	23583
295	9887	23516
296	9904	23444
297	9924	23379
298	9943	23311
299	9963	23248
300	9980	23176
301	9997	23106
302	10014	23035
303	10032	22968
304	10049	22899
305	10079	22860
306	10096	22791
307	10113	22722
308	10130	22653
309	10148	22588
310	10165	22521
311	10181	22452
312	10199	22387
313	10216	22319
314	10232	22252
315	10251	22190
316	10271	22130
317	10293	22076
318	10310	22010
319	10328	21948
320	10345	21883
321	10362	21819
322	10379	21754
323	10395	21690
324	10413	21628
325	10433	21571
326	10454	21517
327	10481	21473
328	10498	21412
329	10515	21350
330	10531	21285
331	10547	21222
332	10566	21165
333	10583	21103
334	10599	21040
335	10615	20977
336	10631	20915
337	10648	20855
338	10669	20804
339	10690	20752
340	10705	20689
341	10720	20626
342	10736	20565
343	10753	20506
344	10770	20448
345	10787	20389
346	10802	20327
347	10817	20267
348	10834	20209
349	10850	20150
350	10869	20097
351	10890	20047
352	10911	19998
353	10929	19945
354	10946	19889
355	10963	19832
356	10983	19782
357	11001	19728
358	11017	19672
359	11033	19615
360	11051	19562
361	11071	19512
362	11095	19471
363	11119	19428
364	11149	19397
365	11166	19342
366	11182	19288
367	11200	19236
368	11221	19188
369	11237	19134
370	11252	19078
371	11270	19026
372	11288	18975
373	11305	18923
374	11329	18881
375	11347	18831
376	11364	18779
377	11380	18726
378	11396	18672
379	11413	18621
380	11430	18571
381	11447	18519
382	11464	18468
383	11481	18418
384	11497	18366
385	11515	18317
386	11572	18330
387	11588	18278
388	11604	18226
389	11620	18176
390	11637	18126
391	11654	18075
392	11670	18024
393	11691	17981
394	11707	17931
395	11724	17882
396	11746	17841
397	11770	17802
398	11792	17763
399	11811	17717
400	11829	17670
401	11845	17620
402	11862	17572
403	11879	17525
404	11895	17475
405	11910	17425
406	11926	17377
407	11947	17335
408	11969	17295
409	11985	17247
410	12001	17198
411	12017	17151
412	12035	17105
413	12051	17058
414	12069	17013
415	12088	16970
416	12104	16923
417	12123	16879
418	12139	16833
419	12158	16790
420	12181	16753
421	12196	16705
422	12213	16659
423	12230	16615
424	12245	16566
425	12259	16519
426	12276	16474
427	12293	16430
428	12309	16384
429	12325	16337
430	12341	16293
431	12365	16258
432	12383	16215
433	12399	16170
434	12415	16126
435	12432	16082
436	12450	16039
437	12467	15997
438	12496	15969
439	12518	15932
440	12544	15900
441	12573	15873
442	12595	15836
443	12615	15798
444	12633	15755
445	12650	15713
446	12668	15672
447	12688	15633
448	12705	15592
449	12726	15554
450	12743	15512
451	12764	15475
452	12787	15440
453	12804	15398
454	12823	15360
455	12840	15317
456	12856	15276
457	12871	15232
458	12888	15191
459	12905	15150
460	12928	15116
461	12951	15081
462	12982	15057
463	12999	15016
464	13017	14977
465	13041	14944
466	13091	14941
467	13145	14942
468	13192	14936
469	13227	14916
470	13252	14884
471	13281	14856
472	13310	14829
473	13342	14805
474	13373	14781
475	13400	14752
476	13430	14726
477	13451	14690
478	13478	14660
479	13507	14633
480	13528	14597
481	13545	14557
482	13563	14518
483	13579	14477
484	13596	14437
485	13615	14400
486	13639	14367
487	13656	14327
488	13674	14289
489	13691	14250
490	13708	14210
491	13726	14172
492	13744	14134
493	13761	14095
494	13778	14056
495	13799	14022
496	13819	13986
497	13842	13953
498	13858	13914
499	13877	13877
500	13894	13838
501	13909	13798
502	13925	13759
503	13956	13734
504	13977	13700
505	13994	13662
506	14012	13625
507	14032	13590
508	14056	13559
509	14072	13520
510	14089	13483
511	14104	13443
512	14123	13407
513	14142	13371
514	14160	13335
515	14175	13296
516	14191	13258
517	14210	13223
518	14233	13190
519	14252	13155
520	14266	13116
521	14282	13078
522	14300	13042
523	14315	13004
524	14332	12967
525	14349	12930
526	14365	12893
527	14381	12856
528	14397	12818
529	14413	12781
530	14431	12746
531	14459	12720
532	14482	12689
533	14503	12656
534	14520	12620
535	14536	12584
536	14558	12552
537	14575	12516
538	14592	12480
539	14609	12445
540	14626	12409
541	14650	12380
542	14669	12346
543	14687	12311
544	14704	12276
545	14720	12240
546	14738	12206
547	14756	12171
548	14773	12136
549	14792	12103
550	14809	12068
551	14827	12033
552	14843	11998
553	14870	11971
554	14887	11936
555	14904	11901
556	14922	11868
557	14940	11834
558	14961	11803
559	14978	11768
560	15005	11741
561	15025	11710
562	15079	11704
563	15110	11681
564	15134	11651
565	15162	11626
566	15188	11599
567	15212	11570
568	15237	11542
569	15266	11516
570	15295	11491
571	15325	11467
572	15350	11439
573	15382	11416
574	15477	11440
575	15544	11442
576	15586	11426
577	15605	11393
578	15620	11358
579	15641	11326
580	15658	11292
581	15675	11258
582	15692	11224
583	15709	11190
584	15726	11156
585	15744	11123
586	15760	11088
587	15792	11065
588	15811	11033
589	15829	11000
590	15850	10968
591	15866	10935
592	15883	10901
593	15906	10871
594	15924	10839
595	15942	10806
596	15961	10774
597	15979	10742
598	16003	10713
599	16022	10681
600	16042	10650
601	16058	10617
602	16076	10584
603	16094	10552
604	16112	10519
605	16132	10488
606	16151	10457
607	16169	10425
608	16187	10392
609	16211	10364
610	16231	10333
611	16247	10300
612	16266	10269
613	16283	10236
614	16300	10204
615	16318	10172
616	16337	10141
617	16354	10108
618	16377	10080
619	16399	10051
620	16437	10032
621	16460	10003
622	16478	9971
623	16496	9939
624	16511	9907
625	16528	9874
626	16548	9844
627	16565	9812
628	16582	9780
629	16600	9749
630	16619	9718
631	16642	9690
632	16661	9659
633	16681	9629
634	16698	9598
635	16713	9565
636	16730	9533
637	16750	9504
638	16766	9471
639	16782	9439
640	16801	9409
641	16822	9380
642	16842	9350
643	16861	9321
644	16878	9289
645	16898	9259
646	16919	9231
647	16944	9204
648	16967	9176
649	16991	9149
650	17008	9118
651	17034	9092
652	17053	9062
653	17073	9032
654	17116	9015
655	17139	8987
656	17169	8963
657	17199	8939
658	17236	8919
659	17269	8896
660	17296	8870
661	17321	8843
662	17347	8817
663	17364	8786
664	17381	8756
665	17403	8727
666	17423	8698
667	17450	8672
668	17490	8653
669	17531	8634
670	17558	8609
671	17589	8585
672	17621	8561
673	17652	8538
674	17687	8516
675	17731	8498
676	17758	8472
677	17785	8446
678	17809	8419
679	17841	8396
680	17864	8368
681	17882	8338
682	17900	8308
683	17921	8279
684	17944	8251
685	17964	8222
686	17987	8194
687	18003	8164
688	18021	8134
689	18038	8104
690	18055	8073
691	18071	8043
692	18089	8013
693	18108	7984
694	18137	7959
695	18159	7931
696	18179	7902
697	18197	7873
698	18213	7842
699	18230	7813
700	18246	7782
701	18264	7753
702	18288	7726
703	18307	7697
704	18332	7671
705	18355	7643
706	18374	7614
707	18390	7584
708	18406	7554
709	18422	7524
710	18438	7494
711	18457	7465
712	18473	7436
713	18491	7406
714	18507	7377
715	18525	7348
716	18542	7318
717	18563	7290
718	18586	7263
719	18603	7234
720	18620	7205
721	18637	7176
722	18656	7147
723	18671	7118
724	18687	7088
725	18705	7059
726	18721	7030
727	18738	7001
728	18754	6971
729	18775	6944
730	18807	6920
731	18828	6893
732	18863	6871
733	18891	6846
734	18915	6819
735	18941	6794
736	18966	6768
737	19008	6748
738	19029	6720
739	19051	6693
740	19069	6665
741	19088	6637
742	19105	6608
743	19121	6579
744	19137	6550
745	19154	6521
746	19172	6493
747	19193	6466
748	19213	6438
749	19232	6410
750	19252	6383
751	19270	6355
752	19288	6327
753	19305	6298
754	19323	6270
755	19341	6242
756	19359	6214
757	19376	6186
758	19396	6158
759	19413	6130
760	19439	6105
761	19457	6077
762	19473	6048
763	19490	6020
764	19512	5993
765	19529	5965
766	19546	5937
767	19563	5909
768	19581	5881
769	19597	5853
770	19615	5826
771	19631	5797
772	19659	5773
773	19677	5745
774	19694	5717
775	19712	5690
776	19730	5662
777	19751	5636
778	19775	5610
779	19805	5586
780	19839	5563
781	19879	5541
782	19913	5518
783	19947	5495
784	19974	5470
785	19999	5445
786	20027	5420
787	20058	5396
788	20098	5374
789	20126	5350
790	20152	5324
791	20179	5299
792	20199	5272
793	20218	5245
794	20235	5217
795	20249	5189
796	20270	5163
797	20314	5142
798	20343	5117
799	20361	5090
800	20378	5062
801	20395	5035
802	20411	5007
803	20427	4979
804	20443	4952
805	20462	4925
806	20489	4900
807	20511	4873
808	20547	4851
809	20579	4827
810	20602	4801
811	20629	4776
812	20646	4749
813	20668	4722
814	20695	4697
815	20725	4673
816	20755	4649
817	20777	4622
818	20793	4595
819	20810	4568
820	20825	4540
821	20841	4513
822	20862	4486
823	20882	4460
824	20901	4433
825	20920	4407
826	20940	4380
827	20960	4354
828	20977	4327
829	20997	4300
830	21013	4273
831	21032	4246
832	21049	4220
833	21065	4192
834	21084	4166
835	21100	4139
836	21120	4113
837	21138	4086
838	21164	4061
839	21195	4037
840	21231	4013
841	21261	3989
842	21293	3965
843	21317	3940
844	21337	3914
845	21358	3887
846	21399	3865
847	21430	3841
848	21457	3816
849	21480	3790
850	21506	3765
851	21532	3740
852	21562	3715
853	21595	3691
854	21631	3668
855	21648	3641
856	21671	3616
857	21689	3589
858	21711	3563
859	21729	3537
860	21746	3510
861	21762	3484
862	21779	3457
863	21797	3431
864	21822	3405
865	21849	3380
866	21878	3356
867	21909	3331
868	21931	3306
869	21962	3281
870	21984	3255
871	22020	3232
872	22079	3211
873	22119	3188
874	22155	3165
875	22184	3140
876	22212	3115
877	22238	3090
878	22265	3065
879	22293	3040
880	22318	3014
881	22344	2989
882	22370	2964
883	22396	2938
884	22422	2913
885	22452	2888
886	22483	2864
887	22509	2839
888	22531	2813
889	22558	2788
890	22578	2762
891	22604	2736
892	22625	2710
893	22647	2685
894	22671	2659
895	22704	2635
896	22726	2609
897	22744	2583
898	22764	2557
899	22790	2532
900	22815	2506
901	22846	2482
902	22873	2457
903	22898	2431
904	22930	2407
905	22950	2381
906	22979	2356
907	23009	2331
908	23031	2305
909	23067	2281
910	23100	2256
911	23144	2233
912	23177	2208
913	23209	2183
914	23236	2158
915	23261	2133
916	23286	2107
917	23337	2084
918	23371	2059
919	23409	2035
920	23430	2009
921	23452	1984
922	23474	1958
923	23500	1932
924	23520	1907
925	23546	1881
926	23575	1856
927	23598	1830
928	23618	1805
929	23648	1779
930	23680	1755
931	23712	1730
932	23734	1704
933	23763	1679
934	23812	1655
935	23838	1629
936	23872	1605
937	23905	1580
938	23939	1555
939	23963	1529
940	23981	1503
941	24001	1477
942	24024	1452
943	24044	1426
944	24062	1400
945	24077	1374
946	24096	1348
947	24113	1322
948	24131	1296
949	24149	1271
950	24165	1245
951	24182	1219
952	24207	1193
953	24233	1168
954	24253	1142
955	24283	1117
956	24304	1092
957	24323	1066
958	24342	1040
959	24358	1014
960	24375	989
961	24393	963
962	24409	937
963	24432	912
964	24453	886
965	24472	861
966	24489	835
967	24506	810
968	24524	784
969	24556	759
970	24590	734
971	24626	709
972	24668	684
973	24694	659
974	24719	633
975	24742	608
976	24759	582
977	24779	557
978	24796	531
979	24820	506
980	24844	481
981	24876	455
982	24904	430
983	24925	405
984	24943	379
985	24962	354
986	24984	329
987	25001	303
988	25018	278
989	25035	252
990	25050	227
991	25071	202
992	25088	176
993	25106	151
994	25123	126
995	25144	100
996	25168	75
997	25195	50
998	25219	25
999	25236	0
